Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight,Inch
Dell Inspiron 15 5510 15.6 inch Full HD Display Core i7 11th Gen 8GB RAM 512GB SSD Laptop,101000  bdt," Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,4GB,512GB M.2 PCIe NVMe SSD,Intel Iris Xe Graphics,Windows 10,1.633 kg,15.6
Acer Aspire 5 A515-56 Intel Core i5 1135G7 15.6 Inch FHD Display Pure Silver Laptop #NX.A1GSI.00E,71610  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel High-brightness Acer ComfyView LED-backlit TFT LCD No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,"512GB SSD No HDD No HDD 1 NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.90kg,15.232530120481924
Acer Nitro 5 AN515-58-74EF Intel Core i7 12700H 15.6 Inch QHD Display Obsidian Black Gaming Laptop #NH.QHYSI.001,232190  bdt,Intel Core i7 12th (Intel) Core i7 12700H 2.50 GHz 4.70 GHz 14 20 24MB Not Specified ,"15.6 QHD LED QHD 2560x1440 Anti-glare No 165 Hz Slim Bezel IPS (In-Plane Switching) technology, high-brightness (300 nits) Acer ComfyView LED-backlit TFT LCD, 3 ms Overdrive, 16:9 aspect ratio, DCI-P3 100%, Wide viewing angle up to 170 degrees. No Secondary Screen No Secondary Screen No Secondary Screen ",16GB,"1TB SSD No HDD No HDD 1 NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Nvidia RTX 3060 Dedicated 6GB GDDR6 ,Win-11 Home Not Specified Not Specified ,2.5 kg,15.232530120481924
HUAWEI MATEBOOK D16 16 INCH IPS FULL HD DISPLAY INTEL I5-12450H 16GB RAM 512GB SSD LAPTOP,102999  bdt,Intel Core i5-12450H 12th Gen 3.30 GHz up to 4.40 GHz,"16 inch IPS FHD (1920 x 1080) 60Hz Screen-to-body Ratio: 90%
Aspect Ratio: 16:10
Maximum Brightness: 300 nits
Colour Gamut: 100% sRGB
Contrast Ratio: 1200:1
Viewing Angle: 178 degrees",16GB,512GB NVMe PCle SSD,Intel UHD Graphics,Windows 11 Home,1.7 kg,15.232530120481924
"ASUS VivoBook 15 X1502ZA Core i5 12th Gen 15.6"" FHD Laptop",96800  bdt,Intel Core i5-1240P ,15.6-Inch FHD FHD (1920 x 1080) Touch ScreenNo ,8GB,PCIe NVMe M.2 SSD 512GB ,Intel Iris X Graphics Is Only Available In Models With Intel Core I5/I7/I9 Processors And Dual-Channel Memory Shared ,Windows 11 Home ,1.70 kg,15.6
"Dell Vostro 14 3400 Core i7 11th Gen MX330 2GB Graphics 14"" FHD Laptop With Backlit Keyboard",103660  bdt,Intel Core i7-1165G7 ,14.0 inch FHD (1920 x 1080) Touch ScreenNo Display FeaturesAnti-glare LED Backlight  Narrow Border WVA Display ,8GB,M.2 PCIe NVMe Solid State Drive 512GB ,NVIDIA GeForce MX330 2GB ,Free DOS ,1.36 kg,14.0
Asus VivoBook 15 X513EP Intel Core i7 1165G7 15.6 Inch FHD WV Display Cobalt Blue Laptop #BQ897W-X513EP,120440  bdt,Intel Core i7 11th (Intel) Core i7 1165G7 2.80GHz 4.70GHz 4 8 12MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel 16:9 aspect ratio, WV Display, LED Backlit, 250nits, 45% NTSC color gamut, (Screen-to-body ratio)85% No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No NVMe PCIe Not Specified Installed SSD can be upgradeable ,Nvidia MX330 Graphics Dedicated 2GB GDDR5 ,Win-11 Home MyASUS Not Specified ,1.80 kg,15.232530120481924
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop",68940  bdt,Intel Core i3-1215U ,15.6 inch FHD (1920 x 1080) Touch ScreenNo Refresh Rate120Hz ,8GB,M.2 PCIe NVMe SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 ,1.65 kg,15.6
Lenovo Note V14 14 inch HD Display Core i3 11th Gen 4GB RAM 1TB HDD 512GB SSD Laptop,58500  bdt," Intel Core i3-1115G4 (6M Cache, 3.00 GHz up to 4.10 GHz)","35.6cms (14) HD, 300 nits, antiglare",4GB,"1 TB 5400rpm HDD 
Extra M.2 Slot512GB SSD",Intel UHD 600 Graphics,Free DOS,1.6 kg,15.232530120481924
ASUS ROG GX800VH 18.4 INCH UHD DISPLAY CORE I7 7TH GEN 64GB RAM 1.5TB SSD LAPTOP WITH 16GB GRAPHICS,410000  bdt,"Intel Core i7 7820HK Processor (8M Cache, 2.90 GHz up to 3.90 GHz)",18.4 Inch (16:9) LED backlit UHD (3840x2160) Anti-Glare Panel with 100% Adobe with G-Sync,64GB ,1536GB SSD (512 X 3),NVIDIA GeForce GTX 1080 SLI with 16GB VRAM,Windows 10 Pro,5.7kg,18.4
Gigabyte Aorus 5 KE4 15.6 Full HD 144Hz Display Core i7 12th Gen 16GB RAM 1TB SSD Gaming Laptop with RTX 3060 6GB Graphics,nan bdt,"12th Gen Intel Core i7-12700H (2.3GHz~4.7GHz) 
Base Core Frequency: 2.3GHz 
Performance-core Max Turbo Frequency: 4.7GHz 
Efficient-core Max Turbo Frequency: 3.5GHz","15.6"" Thin Bezel FHD 1920x1080 IPS-level Anti-glare Display LCD (144Hz)",8GB,1TB Gen 4 NVMe SSD,"NVIDIA GeForce RTX 3060 Laptop GPU 6GB GDDR6 
Boost Clock 1605 MHz / Maximum Graphics Power 115 W",Windows 11 Home,2.30 kg,15.232530120481924
ASUS PROART STUDIOBOOK 16 INCH OLED DISPLAY RYZEN 7 5800H 16GB RAM 1TB SSD LAPTOP WITH 6GB RTX 3060 GRAPHICS,270000  bdt,AMD Ryzen 7 5800H 3.2GHz Up to 4.4GHz,"16 Inch 4K WQUXGA OLED {3840 x 2400}Aspect ratio: 16:9, Response time: 0.2ms, Brightness: 550nits, Color gamut: 100% DCI-P3, Contrast ratio: 1,000,000:1, VESA CERTIFIED Display HDR, Color depth: 1.07 billion colors, SGS Eye Care, Screen-to-body ratio: 85%, Low blue light 70% less harmful blue light, TUV Rheinland-certified",16GB,1TB M.2 NVME PCIE 3.0 SSD,Nvidia RTX 3060 Graphics 6GB GDDR6,Windows 11,2.40 kg,15.232530120481924
Apple MacBook Air MGN63 13.3-inch Full HD Retina Display M1 Chip 8GB RAM 256GB SSD Laptop (Space Gray),123150  bdt,Apple M1 (8-core CPU with 4 perform­ance cores and 4 efficiency cores 7-core GPU 16-core Neural Engine),13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,8GB,256GB SSD,Integrated graphics,macOS,1.73,13.3
ASUS VivoBook 14 K413EA 14 inch Full HD Display Core i5 11th Gen 16GB RAM 512GB SSD Laptop (INDIE BLACK),84000  bdt,"Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 100% sRGB color gamut, Anti-glare display, Screen-to-body ratio: 84 ％",16GB, 512 GB PCIe G3 SSD (Extra Hard Disk Slot Available),Intel Iris Xe Graphics,Windows 10 Home,1.40 kg,14.0
"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",50450  bdt,Intel Core i3 10110U ,15.6 inch FHD (1920 x 1080) Touch ScreenNo Display FeaturesAnti-glare LED-backlit display ,8GB,SATAIII M.2 2280 SSD 512GB ,Intel UHD Graphics Shared ,Windows 10 ,1.59kg,15.6
Asus ZenBook 13 UX325JA 13.3 inch Full HD Display Core i7 10th Gen 16GB RAM 512GB SSD Laptop,114000  bdt,"Intel Core i7-1065G7 Processor (8M Cache, 1.30 GHz up to 3.90 GHz)","13.3” Full HD (1920 x 1080), 16:9 aspect, anti-glare screen, 300nits brightness display;
Four-sided frameless NanoEdge design with 88% screen-to-body ratio;
2.9mm-thin side bezel and 12.9mm bottom bezel; IPS-level wide-view technology",16GB,512GB PCIe NVMe 3.0 x2 M.2 SSD,Intel Iris Plus Graphics,Windows 10,1.07kg,15.232530120481924
ASUS VivoBook 15 X515EA 15.6 inch Full HD Display Core i5 11th Gen 4GB RAM 1TB HDD Laptop (Peacock Blue),69000  bdt,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)","15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",4GB,1TB HDD (Extra M.2 Nvme Slot Available For SSD),Intel Iris Xe Graphics,Windows 10,1.80 kg,15.6
ASUS VivoBook 15 X515FA 15.6 inch FHD Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop (Slate Grey),50000  bdt,"Intel Core i3-10110U Processor 2.1 GHz (4M Cache, up to 4.1 GHz, 2 cores)","(39.62cm)15.6-inch, FHD (1920 x 1080) TN 16:9, LED Backlit, 200nits, NTSC: 45%, Anti-glare display, Screen-to-body ratio: 83 %",4GB,1TB SATA 5400RPM HDD (Extra m.2 NVmE SSD SLOT AVAILABLE),Intel UHD Graphics,Windows 11 License,1.80 kg,15.6
ASUS VIVOBOOK 15 X1502ZA 15.6 INCH FULL HD DISPLAY CORE I5 12TH GEN 8GB RAM 512GB SSD LAPTOP,88000  bdt,"Intel Core I5-1240P Processor (Threads- 16, Cores- 10, Cache- 12M , Up To 4.4GHz)","15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified, Non-touch screen, (Screen-to-body ratio)82%",8GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.,Windows 11 Home 64-Bit,1.73,15.6
LENOVO LEGION 5I PRO 16 INCH IPS DISPLAY INTEL I7 11TH GEN 16GB RAM 1TB SSD LAPTOP WITH RTX 3070 8GB GRAPHICS (3 years Warranty),255000  bdt,"Intel Core i7-11800H (8C / 16T, 2.3 / 4.6GHz, 24MB)","14"" 2.2K (2240×1400) IPS 300nits Anti-glare, 60Hz, 100% sRGB 16:10",16GB,1TB SSD M.2 2280 PCIe 4.0x4 NVMe,"NVIDIA GeForce RTX 3070 8GB GDDR6, Boost Clock 1560 / 1620MHz, TGP 140W",Windows 10,1.73,15.232530120481924
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop With 3 Years Warranty",144890  bdt,Intel Core i7-11370H ,15.6 Inch IPS FHD (1920×1080) Touch ScreenNo ,16GB,"M.2 2242 PCIe 3.0×4 NVMe SSD 7 &  2.5"" HDD 256GB  SSD
1TB  HDD ",NVIDIA GeForce GTX 1650 4GB ,Windows 11 Home ,2.25 kg,15.6
"HP OMEN 16-c0456AX Ryzen 9 5900H RTX 3070 8GB Graphics 16.1"" FHD Gaming Laptop",259900  bdt,AMD Ryzen 9 5900H ,16.1 Inch IPS  FHD (1920 x 1080) Touch ScreenNo ,16GB,PCIe NVMe TLC M.2 SSD 1TB ,NVIDIA GeForce RTX 3070 8 GB ,Windows 11 Home ,2.3 kg,16.1
HP 15S-fq5786TU 15.6 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 8GB RAM 512GB LAPTOP,65000  bdt,"Intel Core i3-1215U Processor (10M Cache, 3.30 GHz, up to 4.40 GHz)","15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, BrightView, 250 nits, 45% NTSC",8 GB,512 GB PCIe NVMe M.2 SSD,Intel UHD Graphics,Windows 11 64bit,1.47 kg,15.232530120481924
Asus X515EA Intel Core i5 1135G7 15.6 Inch FHD WV Display Peacock Blue Laptop #BQ2313W-X515EA,74320  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-glare No Not Specified Slim Bezel WV Display, Aspect Ratio: 16:9, Backlit: LED Backlit, IPS-level: IPS-level Panel, Brightness: 250nits, Color gamut: 45% NTSC color gamut No Secondary Screen No Secondary Screen No Secondary Screen ",4GB,"1TB SATA 5400 RPM No No SSD 1 Additional SSD Can be added, HDD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.80 kg,15.232530120481924
"Asus VivoBook 15 K513EQ Core i7 11th Gen 15.6"" FHD Laptop",119350  bdt,Intel Core i7-1165G7 ,15.6 Inch IPS FHD (1920X1080) Touch ScreenNo ,8GB,PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 10 64-bit ,1.80 kg,15.6
Asus X515MA Intel CDC N4020 15.6 Inch FHD Display Slate Grey Laptop #BQ636T-X515MA,45570  bdt,Intel Intel Celeron Not Applicable CDC N4020 1.10 GHz 2.80 GHz 2 2 4MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-glare No 60 Hz Slim Bezel Panel Type: IPS, 16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut, Screen-to-body ratio: 83 % No Secondary Screen No Secondary Screen No Secondary Screen ",4GB,"1TB HDD SATA 3 5400 RPM No No SSD 1 Additional SSD Can be added, HDD can be replaced ",Intel UHD Graphics Integrated Shared Not Applicable ,"Win-10 Home McAfee, MyASUS Not Specified ",1.80 kg,15.232530120481924
Lenovo IdeaPad Slim 3i 15IGL 15.6 inch FULL HD Display Intel Celeron N4020 4GB RAM 256GB SSD Laptop (3 years Warranty),39000  bdt,"Intel Celeron N4020 Processor (4M Cache,1.10 GHz up to 2.80 GHz)","15.6"" FULL HD AntiGlare LED Backlight Narrow Bezel Display",4GB, 256GB NVMe PCIe SSD,Intel UHD Graphics 600,Windows 11 Home,1.7 kg,15.232530120481924
MSI Summit B14 A11M 14-inch Full HD IPS Core i5 11gen 8GB RAM 512GB SSD laptop,nan bdt,11th Gen. Intel Core i5-1135G7,"14"" FHD (1920*1080), 60Hz 72%NTSC IPS-Level, close to 100%sRGB",8GB,512GB NVMe PCIe Gen4x4 SSD,Intel's Iris Xe Max graphics. Intel's Iris Xe Max graphics was specifically intended for content creators' portable platforms. It's equivalent to Nvidia's MX330 Laptop Graphics.,Windows 10 Home,1.29 kg,15.232530120481924
Dell Inspiron 15 3501 15.6 Full HD Display Core i3 11th Gen 4GB RAM 1TB HDD 128GB SSD Laptop (White),55000  bdt,"Intel Core i3-1115G4 Processor (6M Cache, 3.00 GHz up to 4.10 GHz)",15.6-inch Full HD (1920 x 1080) Anti-Glare Display,4GB,"128GB M.2 PCIe NVMe SSD
1TB SATA HDD",Intel UHD Graphics,Windows 10,2.2 kg,15.6
